,GlobalID,Detection Date,Lab Status,Submission Date,Latitude,Longitude,Notes,FileName
0,{5AC8034E-5B46-4294-85F0-5B13117EBEFE},2019-12-08,Positive ID,2020-01-15,48.980994,-122.688503,"One dead wasp seen in Blaine, and suspect flying nearby",ATT1_DSCN9647.jpg
1,{5EAD3364-2CA7-4A39-9A53-7F9DCF5D2041},2019-10-30,Positive ID,2020-01-15,48.971949,-122.70094099999999,Hornet specimen sent to WSU,ATT2_HoireRDBeekeeperReport.jpg
2,{124B9BFA-7F7B-4B8E-8A56-42E067F0F72E},2019-09-19,Positive ID,2020-02-04,49.149394,-123.94313400000001,"This was the colony that was found and destroyed in Nanaimo, BC Sep 18, 2019. There were ~150 live hornets and ~600 unhatched eggs & larvae",ATT4_20190921_152954.jpg
3,{124B9BFA-7F7B-4B8E-8A56-42E067F0F72E},2019-09-19,Positive ID,2020-02-04,49.149394,-123.94313400000001,"This was the colony that was found and destroyed in Nanaimo, BC Sep 18, 2019. There were ~150 live hornets and ~600 unhatched eggs & larvae",ATT5_20190918_230100.jpg
4,{124B9BFA-7F7B-4B8E-8A56-42E067F0F72E},2019-09-19,Positive ID,2020-02-04,49.149394,-123.94313400000001,"This was the colony that was found and destroyed in Nanaimo, BC Sep 18, 2019. There were ~150 live hornets and ~600 unhatched eggs & larvae",ATT6_20190918_235343.jpg
5,{124B9BFA-7F7B-4B8E-8A56-42E067F0F72E},2019-09-19,Positive ID,2020-02-04,49.149394,-123.94313400000001,"This was the colony that was found and destroyed in Nanaimo, BC Sep 18, 2019. There were ~150 live hornets and ~600 unhatched eggs & larvae",ATT7_20190918_214742.jpg
6,{C4F44511-EA53-4FCF-9422-E1C57703720D},2020-02-29,Negative ID,2020-02-29,48.729596,-122.48003500000002,"I’m not sure what this is, but it was the biggest looking wasp/hornet I’ve ever seen, at least an inch long. Sorry for the poor quality picture, I went inside to get a glass to catch it and it flew away.",ATT10_67EAF187-B59C-4F5F-BAAC-9F76E06A96D6.jpg
7,{C4F44511-EA53-4FCF-9422-E1C57703720D},2020-02-29,Negative ID,2020-02-29,48.729596,-122.48003500000002,"I’m not sure what this is, but it was the biggest looking wasp/hornet I’ve ever seen, at least an inch long. Sorry for the poor quality picture, I went inside to get a glass to catch it and it flew away.",ATT9_A8F17F0C-0638-41F3-A001-01D2607B81B4.jpg
8,{89C867F1-D5ED-48C8-9586-B705F5DA9838},2019-09-07,Negative ID,2020-03-18,47.395721,-123.10518799999998,"slow moving, i have this in the freezer still i think. I saw 3 of them 98588",ATT11_wierd hornet sept 2019.jpg
9,{81670D96-4143-47B1-A9C8-83977892D53F},2020-03-19,Negative ID,2020-03-19,47.840041,-122.32356200000001,It landed on my window while working. It walked around and then bounced across it as it tried to fly into the glass.,ATT12_35736840-588C-47B3-B81B-454ABFAE6A53.jpg
10,{81670D96-4143-47B1-A9C8-83977892D53F},2020-03-19,Negative ID,2020-03-19,47.840041,-122.32356200000001,It landed on my window while working. It walked around and then bounced across it as it tried to fly into the glass.,ATT13_F162126B-4A5E-4068-92EB-95392E2F6919.jpg
11,{81670D96-4143-47B1-A9C8-83977892D53F},2020-03-19,Negative ID,2020-03-19,47.840041,-122.32356200000001,It landed on my window while working. It walked around and then bounced across it as it tried to fly into the glass.,ATT14_4EDB0785-9402-49B4-8FB6-CDBE0A3204E3.jpg
12,{81670D96-4143-47B1-A9C8-83977892D53F},2020-03-19,Negative ID,2020-03-19,47.840041,-122.32356200000001,It landed on my window while working. It walked around and then bounced across it as it tried to fly into the glass.,ATT15_B83CA488-6286-4934-BA68-A0BD5DF03D1F.jpg
13,{D30895B7-3994-45A3-BD51-E5BA881833FD},2019-08-30,Negative ID,2020-03-19,47.635058,-122.057332,"Probably not an Asain Hornet but still a pretty mean looking one that I can't I.D. Second sighting that day, both found while cutting down dead Hemlock trees.",ATT16_Giant Hornet Sahalee Country Club 9.29.2019.jpg
14,{5AD8CAF4-AB96-4BFA-8A08-6010C96937F1},2020-03-31,Negative ID,2020-03-31,46.609918,-120.563107,"Not sure if this is the target pest, but I figured we would send the picture in for examination. The head came off when we removed the pest from the cowling on an engine.",ATT17_F38FCA9B-3D90-4079-8372-BA7A6D509BDF.jpg
15,{8DFDA283-3AFD-4E9F-9878-7A0F22E1B917},2019-07-23,Negative ID,2020-04-01,48.006763,-122.462053,not sure if this is one. but in case it is. Saw it at Bayview farm and garden nursery on Whidbey Island,ATT18_IMG_2855.jpg
16,{8DFDA283-3AFD-4E9F-9878-7A0F22E1B917},2019-07-23,Negative ID,2020-04-01,48.006763,-122.462053,not sure if this is one. but in case it is. Saw it at Bayview farm and garden nursery on Whidbey Island,ATT19_IMG_2858.jpg
17,{BE0AD7A4-F4FD-40F7-979C-AE5F4470B1E4},2020-04-07,Negative ID,2020-04-07,47.62986,-120.68945,"I live in Newcastle, WA and found a dead one on my front porch. I will leave it there if you want to confirm",ATT21_IMG_0190.jpg
